,EN,Type of Steel,TypesOfSteelId,ASTM,UNS,JIS,c(Fe) (%),c(C) (%),c(N) (%),c(Cr) (%),c(Ni) (%),c(Mo) (%),c(Al) (%),c(Mn) (%),c(Cu) (%),c(Si) (%),Rp0.2 (MPa),Rp1.0 (MPa),Rm (MPa),A (%)
0,1.46,Ferritic Steel,0,,,,87.93,0.02,0.0,11.2,0.85,0.0,0.0,0.0,0.0,0.0,435.0,460.0,545.0,25.0
1,1.4512,Ferritic Steel,0,409,,SUS409,88.28,0.02,0.0,11.5,0.2,0.0,0.0,0.0,0.0,0.0,255.0,275.0,425.0,33.0
2,1.4003,Ferritic Steel,0,,S40977,,87.98,0.02,0.0,11.5,0.5,0.0,0.0,0.0,0.0,0.0,355.0,375.0,525.0,25.0
3,1.4,Ferritic Steel,0,410S,S41008,SUS 403,87.47,0.03,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,270.0,320.0,490.0,30.0
4,1.4589,Ferritic Steel,0,,S42035,,84.055,0.045,0.0,14.0,1.65,0.25,0.0,0.0,0.0,0.0,470.0,510.0,600.0,20.0
5,1.4016,Ferritic Steel,0,430,S43000,SUS 430,83.75,0.05,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,365.0,390.0,520.0,26.0
6,1.4511,Ferritic Steel,0,,,,83.78,0.02,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,320.0,340.0,475.0,30.0
7,1.452,Ferritic Steel,0,,,,83.78,0.02,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,265.0,285.0,430.0,34.0
8,1.451,Ferritic Steel,0,439,S43035,SUS 430LX,82.98,0.02,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,300.0,450.0,34.0
9,1.4509,Ferritic Steel,0,,S43940,,81.98,0.02,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,330.0,480.0,31.0
10,1.4607,Ferritic Steel,0,,,,80.98,0.02,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,325.0,470.0,31.0
11,1.4113,Ferritic Steel,0,434,S43400,,82.455,0.045,0.0,16.5,0.0,1.0,0.0,0.0,0.0,0.0,390.0,420.0,550.0,24.0
12,1.4513,Ferritic Steel,0,,S43600,,81.98,0.02,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,310.0,325.0,470.0,32.0
13,1.4521,Ferritic Steel,0,444,S44400,SUS 444,79.98,0.02,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,350.0,370.0,525.0,31.0
14,1.4006,Martensitic Steel,1,410,S41000,SUS 410,87.88,0.12,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,360.0,560.0,30.0
15,1.4005,Martensitic Steel,1,416,S41600,SUS 416,86.9,0.1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,450.0,550.0,20.0
16,1.4021,Martensitic Steel,1,420,S42000,SUS 420J1,86.8,0.2,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,580.0,650.0,20.0
17,1.4031,Martensitic Steel,1,420,S42000,,86.12,0.38,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18,1.4034,Martensitic Steel,1,420,S42000,,85.85,0.45,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,375.0,430.0,660.0,24.0
19,1.4028,Martensitic Steel,1,420,S42000,SUS 420J2,87.2,0.30000000000000004,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,
20,1.4313,Martensitic Steel,1,,S41500,SUS Ti6NM,82.77,0.03,0.0,12.5,4.1,0.6000000000000001,0.0,0.0,0.0,0.0,700.0,770.0,850.0,20.0
21,1.4542,Martensitic Steel,1,630,S174003,SUS 630,79.68,0.02,0.0,15.5,4.8,0.0,0.0,0.0,3.4,0.0,850.0,1050.0,1100.0,22.0
22,1.4116,Martensitic Steel,1,,,,84.55,0.5,0.0,14.4,0.0,0.55,0.0,0.0,0.0,0.0,390.0,430.0,640.0,23.0
23,1.411,Martensitic Steel,1,,,,84.07,0.5,0.0,14.8,0.0,0.63,0.0,0.0,0.0,0.0,410.0,460.0,690.0,24.0
24,1.4568,Martensitic Steel,1,631,S17700,SUS 631,75.92,0.08,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,210.0,240.0,700.0,50.0
